step,time,game_drift_rms,median_known_distance,p90_known_distance,minimum_coordinate,negative_coordinate_fraction
0,0.0,0.6463003158569336,0.2584001123905182,0.48654353618621826,0.00016780232544988394,0.0
1,0.01,0.6325550079345703,0.25523877143859863,0.47861894965171814,0.00018188809917774051,0.0
2,0.02,0.6190225481987,0.2530888319015503,0.47081148624420166,0.0003672656894195825,0.0
3,0.03,0.6056376695632935,0.2511197328567505,0.4634775221347809,0.0007061919895932078,0.0
4,0.04,0.5923684239387512,0.2487075924873352,0.4544771909713745,0.0009445035830140114,0.0
5,0.05,0.5793102383613586,0.2466461956501007,0.4472463130950928,0.0009943651966750622,0.0
6,0.06,0.5663772225379944,0.24220681190490723,0.44096818566322327,0.0010785055346786976,0.0
7,0.07,0.553585410118103,0.23790836334228516,0.4353487491607666,0.0011953413486480713,0.0
8,0.08,0.5409510135650635,0.23557211458683014,0.4302717447280884,0.0013411128893494606,0.0
9,0.09,0.5284885168075562,0.23328936100006104,0.4240804612636566,0.0015111076645553112,0.0
10,0.1,0.5162113308906555,0.2311139553785324,0.41801172494888306,0.0017002582317218184,0.0
11,0.11,0.504132091999054,0.22912730276584625,0.4130263924598694,0.0019031512783840299,0.0
12,0.12,0.4922613203525543,0.2267509251832962,0.40747562050819397,0.0021138894371688366,0.0
13,0.13,0.4806307256221771,0.22465117275714874,0.4023487865924835,0.0023663388565182686,0.0
14,0.14,0.46923279762268066,0.22274824976921082,0.3965131640434265,0.0026222479064017534,0.0
15,0.15,0.4580754041671753,0.22014784812927246,0.3908618688583374,0.0028765476308763027,0.0
16,0.16,0.4471639394760132,0.21774476766586304,0.3853928744792938,0.0031248247250914574,0.0
17,0.17,0.4365025460720062,0.21624459326267242,0.3803057074546814,0.0033634863793849945,0.0
18,0.18,0.42609480023384094,0.21376878023147583,0.3759346902370453,0.0032840713392943144,0.0
19,0.19,0.4156562089920044,0.2115982472896576,0.37181156873703003,0.002842764602974057,0.0
20,0.2,0.4054288864135742,0.2116386592388153,0.36684471368789673,0.002342724474146962,0.0
21,0.21,0.39541441202163696,0.20925521850585938,0.3620986044406891,0.001784045365639031,0.0
22,0.22,0.38561487197875977,0.20683228969573975,0.35756611824035645,0.0011692020343616605,0.0
23,0.23,0.3760330080986023,0.204588383436203,0.35318490862846375,0.0005016932263970375,0.0
24,0.24,0.3666705787181854,0.20310790836811066,0.34895169734954834,-0.0002142419689334929,0.0008680555620230734
25,0.25,0.3575289845466614,0.201141357421875,0.34486305713653564,-0.0009738864609971642,0.0008680555620230734
26,0.26,0.34860849380493164,0.19927439093589783,0.34108632802963257,-0.0017728282837197185,0.0017361111240461469
27,0.27,0.3399085998535156,0.19804440438747406,0.33798250555992126,-0.00260771531611681,0.0026041667442768812
28,0.28,0.3314279317855835,0.19674599170684814,0.33562198281288147,-0.0034753407817333937,0.0026041667442768812
29,0.29,0.3231634199619293,0.19558513164520264,0.33393076062202454,-0.004372783005237579,0.0026041667442768812
30,0.3,0.3151129484176636,0.1938735544681549,0.3309294581413269,-0.005295981653034687,0.0026041667442768812
31,0.31,0.30727437138557434,0.1929253190755844,0.32849735021591187,-0.006242230534553528,0.0034722222480922937
32,0.32,0.2996443212032318,0.1922762095928192,0.3261665999889374,-0.007209752686321735,0.0034722222480922937
33,0.33,0.2922194004058838,0.1918042004108429,0.32402610778808594,-0.008196905255317688,0.0034722222480922937
34,0.34,0.28499627113342285,0.18989810347557068,0.32068386673927307,-0.00920156016945839,0.0052083334885537624
35,0.35000000000000003,0.27797067165374756,0.1886383295059204,0.31710729002952576,-0.010222187265753746,0.0052083334885537624
36,0.36,0.27113887667655945,0.18747060000896454,0.3137440085411072,-0.011257550679147243,0.0052083334885537624
37,0.37,0.26449722051620483,0.1860514134168625,0.31067824363708496,-0.012306616641581059,0.0052083334885537624
38,0.38,0.2580418288707733,0.18520484864711761,0.30857551097869873,-0.013368215411901474,0.0052083334885537624
39,0.39,0.2517682611942291,0.18510399758815765,0.30683666467666626,-0.014441428706049919,0.0069444444961845875
40,0.4,0.24567267298698425,0.18405823409557343,0.30481746792793274,-0.01552506908774376,0.0069444444961845875
41,0.41000000000000003,0.23975153267383575,0.1828640103340149,0.30197229981422424,-0.016617724671959877,0.0069444444961845875
42,0.42,0.23400136828422546,0.181771919131279,0.29922401905059814,-0.01771850883960724,0.0069444444961845875
43,0.43,0.2284182757139206,0.1810350865125656,0.2970448136329651,-0.018826652318239212,0.0069444444961845875
44,0.44,0.22299860417842865,0.18013301491737366,0.29537180066108704,-0.019941356033086777,0.0078125
45,0.45,0.21773867309093475,0.17841100692749023,0.2937074601650238,-0.02106170356273651,0.0078125
46,0.46,0.2126348912715912,0.17702889442443848,0.29182949662208557,-0.02218702808022499,0.0078125
47,0.47000000000000003,0.2076839655637741,0.17631475627422333,0.289573609828949,-0.02331661432981491,0.0078125
48,0.48,0.20288221538066864,0.17552581429481506,0.2868887484073639,-0.02444973587989807,0.0078125
49,0.49,0.198226198554039,0.1755887120962143,0.284357488155365,-0.025585666298866272,0.0078125
50,0.5,0.19371235370635986,0.17492517828941345,0.28308579325675964,-0.02672371082007885,0.0078125
51,0.51,0.1902715414762497,0.17397688329219818,0.28133925795555115,-0.027340644970536232,0.0078125
52,0.52,0.18599006533622742,0.17290526628494263,0.2799406945705414,-0.028517335653305054,0.0078125
53,0.53,0.18184275925159454,0.17152664065361023,0.27859893441200256,-0.02969256229698658,0.0086805559694767
54,0.54,0.17782598733901978,0.17017880082130432,0.27630627155303955,-0.030865782871842384,0.0086805559694767
55,0.55,0.17491769790649414,0.16892503201961517,0.274392694234848,-0.031520307064056396,0.0086805559694767
56,0.56,0.1711103767156601,0.1683666855096817,0.2724900245666504,-0.03272126242518425,0.009548611007630825
57,0.5700000000000001,0.16742636263370514,0.16810566186904907,0.2705458104610443,-0.03391728550195694,0.009548611007630825
58,0.58,0.16386231780052185,0.16795030236244202,0.26831746101379395,-0.03510783985257149,0.009548611007630825
59,0.59,0.1614304780960083,0.16781653463840485,0.26616936922073364,-0.0357903428375721,0.009548611007630825
60,0.6,0.15805143117904663,0.16748429834842682,0.26393723487854004,-0.03700144588947296,0.009548611007630825
61,0.61,0.1547849327325821,0.1665877401828766,0.2628927528858185,-0.0382048636674881,0.009548611007630825
62,0.62,0.15267087519168854,0.1657916158437729,0.2618072032928467,-0.03890734538435936,0.009548611007630825
63,0.63,0.1495743840932846,0.16493962705135345,0.2600290775299072,-0.04012461006641388,0.009548611007630825
